story_id,capability_id,story_type,summary,persona,agile_state,priority,value_score,story_readiness_pct,acceptance_criteria_count,dependency,target_sprint,effort_points,qa_status,acceptance_decision
ADO-0073,REL011,Enabler,"As a travel advisor, I need to confirm acceptance criteria for group booking special request intake.",Travel advisor,Accepted,P2,74.9,31.2,9,Training owner,Sprint 13,5,Needs rework,Ready for sprint
ADO-0004,REL001,User Story,"As a travel advisor, I need to confirm acceptance criteria for traveler profile merge rules.",Travel advisor,In QA,P2,73.8,34.1,5,Training owner,Sprint 16,8,In progress,Clarify
ADO-0115,REL018,Enabler,"As a product owner, I need to route escalation for agile intake scoring model.",Product owner,Ready,P2,73.4,36.9,5,Training owner,Sprint 13,3,Passed,Needs dependency
ADO-0056,REL009,User Story,"As a traveler, I need to complete training readiness for supplier schedule change alerts.",Traveler,In QA,P0,81.2,37.1,5,None,Sprint 14,8,Needs rework,Needs dependency
ADO-0034,REL005,Feature,"As a training coordinator, I need to publish stakeholder update for managed solution release packaging.",Training coordinator,Accepted,P0,64.5,37.4,4,Business sign-off,Sprint 16,3,Needs rework,Ready for sprint
ADO-0067,REL011,Enabler,"As a reservations agent, I need to validate rollback trigger for group booking special request intake.",Reservations agent,Committed,P0,92.6,41.0,5,QA data,Sprint 13,5,In progress,Ready for sprint
ADO-0070,REL011,User Story,"As a business sponsor, I need to prioritize enhancement request for group booking special request intake.",Business sponsor,Accepted,P0,87.5,41.1,7,None,Sprint 16,13,Passed,Accept
ADO-0109,REL017,User Story,"As a travel advisor, I need to publish stakeholder update for pre-departure service case routing.",Travel advisor,Ready,P1,71.3,41.5,6,ServiceNow mapping,Sprint 13,8,Needs rework,Ready for sprint
ADO-0046,REL007,Feature,"As a reservations agent, I need to prioritize enhancement request for training playbook for itinerary amendments.",Reservations agent,In QA,P0,70.6,41.6,7,QA data,Sprint 16,5,Not started,Ready for sprint
ADO-0008,REL001,Epic,"As a business sponsor, I need to route escalation for traveler profile merge rules.",Business sponsor,Refining,P1,81.2,42.1,5,ServiceNow mapping,Sprint 14,5,In progress,Ready for sprint
ADO-0071,REL011,User Story,"As a support lead, I need to route escalation for group booking special request intake.",Support lead,Committed,P1,78.5,43.2,5,None,Sprint 17,8,Passed,Defer
ADO-0022,REL003,Feature,"As a reservations agent, I need to review release impact for guided tour rooming list changes.",Reservations agent,Committed,P1,91.8,44.3,6,None,Sprint 16,13,Needs rework,Ready for sprint
ADO-0072,REL011,Feature,"As a training coordinator, I need to review release impact for group booking special request intake.",Training coordinator,Accepted,P2,87.4,46.3,7,QA data,Sprint 12,2,Not started,Clarify
ADO-0005,REL001,Epic,"As a product owner, I need to complete training readiness for traveler profile merge rules.",Product owner,Ready,P1,71.2,46.8,4,Business sign-off,Sprint 17,13,Needs rework,Needs dependency
ADO-0030,REL005,Feature,"As a support lead, I need to route escalation for managed solution release packaging.",Support lead,Refining,P2,68.8,48.1,4,ServiceNow mapping,Sprint 12,8,In progress,Needs dependency
ADO-0118,REL018,Feature,"As a tour operations specialist, I need to route escalation for agile intake scoring model.",Tour operations specialist,Ready,P1,71.0,48.9,3,Business sign-off,Sprint 16,2,Not started,Needs dependency
ADO-0076,REL011,Epic,"As a reservations agent, I need to complete training readiness for group booking special request intake.",Reservations agent,Refining,P2,66.8,49.1,5,Business sign-off,Sprint 16,13,In progress,Ready for sprint
ADO-0119,REL018,Feature,"As a business sponsor, I need to capture exception evidence for agile intake scoring model.",Business sponsor,New,P2,72.0,50.6,5,ServiceNow mapping,Sprint 17,5,Needs rework,Needs dependency
ADO-0007,REL001,Feature,"As a business sponsor, I need to confirm acceptance criteria for traveler profile merge rules.",Business sponsor,New,P1,57.3,50.7,4,Training owner,Sprint 13,3,Not started,Clarify
ADO-0075,REL011,Feature,"As a traveler, I need to complete training readiness for group booking special request intake.",Traveler,Refining,P2,71.4,51.3,6,None,Sprint 15,8,Not started,Clarify
ADO-0069,REL011,User Story,"As a tour operations specialist, I need to review release impact for group booking special request intake.",Tour operations specialist,Ready,P0,100,51.8,4,ServiceNow mapping,Sprint 15,2,Not started,Defer
ADO-0068,REL011,Feature,"As a reservations agent, I need to validate rollback trigger for group booking special request intake.",Reservations agent,Refining,P0,76.6,51.9,6,QA data,Sprint 14,3,Passed,Clarify
ADO-0031,REL005,Feature,"As a training coordinator, I need to confirm acceptance criteria for managed solution release packaging.",Training coordinator,New,P2,73.7,52.0,6,None,Sprint 13,5,In progress,Ready for sprint
ADO-0079,REL012,Enabler,"As a support lead, I need to confirm acceptance criteria for release notes stakeholder digest.",Support lead,Accepted,P1,74.4,52.0,4,ServiceNow mapping,Sprint 13,2,Not started,Needs dependency
ADO-0045,REL007,Feature,"As a support lead, I need to confirm acceptance criteria for training playbook for itinerary amendments.",Support lead,New,P2,79.3,52.6,4,QA data,Sprint 15,2,Needs rework,Ready for sprint
ADO-0019,REL003,Enabler,"As a business sponsor, I need to capture exception evidence for guided tour rooming list changes.",Business sponsor,Refining,P2,98.9,53.9,5,ServiceNow mapping,Sprint 13,13,In progress,Defer
ADO-0032,REL005,Enabler,"As a reservations agent, I need to route escalation for managed solution release packaging.",Reservations agent,New,P2,75.5,54.3,6,Dynamics config,Sprint 14,5,Not started,Ready for sprint
ADO-0001,REL001,User Story,"As a business sponsor, I need to complete training readiness for traveler profile merge rules.",Business sponsor,Ready,P1,76.2,54.9,7,Dynamics config,Sprint 13,8,Passed,Defer
ADO-0006,REL001,Feature,"As a training coordinator, I need to review release impact for traveler profile merge rules.",Training coordinator,Refining,P0,84.9,55.3,5,Business sign-off,Sprint 12,5,Passed,Needs dependency
ADO-0033,REL005,User Story,"As a product owner, I need to route escalation for managed solution release packaging.",Product owner,Committed,P2,84.3,56.2,6,Dynamics config,Sprint 15,13,In progress,Clarify
